"","ADDRESSS","name","lat","long","accuracy","format_address"
"1"," 37TH AVE 11372","POLLOS MARIO RESTAURANT AND SPORTS BAR",40.7498481,40.7498481,"route","37th Ave, Queens, NY 11372, USA"
"2"," 86TH ST 11214","HAMACHI SUSHI",40.6034985,40.6034985,"route","86th St, Brooklyn, NY 11214, USA"
"3"," AIRPORT TERMINAL 4 11430","CAMDEN FOOD COMPANY",40.6439568,40.6439568,"airport","JFK International Airport, Terminal 4, Queens, NY 11430, USA"
"4"," BTW 43 & 44 ST 10036","TAPAS & PAPAS",43.3051875,43.3051875,"street_address","43 Between the Mountains Rd, Newbury, NH 03255, USA"
"5"," CENTRAL PARK WEST 10019","(PUBLIC FARE) 81st street and central park west (Delacorte Theatre)",40.7848582,40.7848582,"route","Central Park West, New York, NY, USA"
"6"," JFK 11430","MCDONALD'S",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"7"," JFK AIRPORT 11430","DYLAN'S CANDY BAR",40.6413111,40.6413111,"airport","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"8"," LEXINGTON AVE 10017","CAFE GRUMPY",40.7530692,40.7530692,"route","Lexington Ave, New York, NY 10017, USA"
"9"," Park N. Moore St. at West S 10013","Grand Banks",40.7203139,40.7203139,"intersection","West St & N Moore St, New York, NY 10013, USA"
"10"," TERM8-A1 11430","HUDSON/EURO CAFE",40.6433507,40.6433507,"postal_code","Jamaica, NY 11430, USA"
"11"," US AIRWAYS TERMINAL 11371","PRIME TAVERN/DELTA TERMINAL",38.5501113,38.5501113,"street_address","11371 Air Terminal Dr, Mascoutah, IL 62258, USA"
"12"," W 79 STREET 10024","AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT",40.7838194,40.7838194,"route","W 79th St, New York, NY 10024, USA"
"13"," WEST 15TH STREET 10011","BROOKLYN SODAWORKS",40.7398435,40.7398435,"route","W 15th St, New York, NY 10011, USA"
"14",".1-A EAST 77 ST 10021","DINING ROOM",-16.6713921,-16.6713921,"street_address","R. 1-A, 77 - St. Aeroporto, Goiânia - GO, 74075-070, Brazil"
"15","0 @ GRAND CENTRAL 10017","GRAND HYATT NEW YORK HOTEL",42.4154769,42.4154769,"intersection","Grand Ave & Central Ave, Lake Villa, IL 60046, USA"
"16","0 & GRAND CENTRAL 10017","HYATT, NY CENTRAL, ROOM SERVICE",44.200797,44.200797,"administrative_area_level_1","Olt County, Romania"
"17","0 106 STREET & 5 AVENUE 10029","MAOZ VEGETARIAN",40.7942669,40.7942669,"street_address","0 E 106th St, New York, NY 10029, USA"
"18","0 138 ST & AMSTERDAM AVE 10031","METROPOLITAN FOOD SERVICE",25.8952885,25.8952885,"street_address","0 NW 138th St, Hialeah, FL 33016, USA"
"19","0 161 STREET & RIVER AVENUE 10451","HARD ROCK CAFE",44.0807455,44.0807455,"street_address","0 161st St, Woodstock, MN 56186, USA"
"20","0 34 STREET 10001","AUNTIE ANNE'S PRETZELS",40.752981,40.752981,"route","W 34th St, New York, NY 10001, USA"
"21","0 67th Street and Central Park West 10023","TAVERN ON THE GREEN",40.7730403,40.7730403,"intersection","Central Park West & W 67th St, New York, NY 10023, USA"
"22","0 9TH AVE 10011","LE PAIN QUOTIDIEN",40.7396271,40.7396271,"street_address","0 9th Ave, New York, NY 10014, USA"
"23","0 AA TERMINAL 8 11430","WOK & ROLL",-20.2102106,-20.2102106,"street_address","R. Aa, 8 - Jardim Limoeiro, Serra - ES, Brazil"
"24","0 AMTRAK LEVEL 10001","KABOOZ'S BAR & GRILLE",40.7536854,40.7536854,"postal_code","New York, NY 10001, USA"
