"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"1","240 FLATBUSH AVE 11217","BLEACHERS SPORTS BAR AND GRILL",40.6802314,-73.9749987,"premise","240 Flatbush Ave, Brooklyn, NY 11217, USA"
"2","240 KENT AVE 11249","BROOKLYN ROASTING COMPANY",40.7168961,-73.9657528,"premise","240 Kent Ave, Brooklyn, NY 11249, USA"
"3","240 KINGS HIGHWAY 11223","PULI BROTHERS II",40.6051761,-73.9818137,"street_address","240 Kings Hwy, Brooklyn, NY 11223, USA"
"4","240 LAFAYETTE ST 10012","BY CHLOE",40.7227687,-73.9972111,"premise","240 Lafayette St, New York, NY 10012, USA"
"5","240 MANHATTAN AVE 10026","STARBUCKS",40.801218,-73.9591949,"street_address","240 Manhattan Ave, New York, NY 10026, USA"
"6","240 PAGE AVE 10307","MIZU HIBACHI JAPANESE FUSION",40.5178016,-74.2357598,"premise","240 Page Ave, Staten Island, NY 10307, USA"
"7","240 PAGE AVENUE 10307","E SQUARED CAFE",40.5178016,-74.2357598,"premise","240 Page Ave, Staten Island, NY 10307, USA"
"8","240 PARK AVENUE SOUTH 10003","STARBUCKS",40.7380436,-73.9883437,"premise","240 Park Ave S, New York, NY 10003, USA"
"9","240 PROSPECT PARK W 11215","BRUNSWICK PROSPECT PARK WEST",40.6594483,-73.9814465,"premise","240 Prospect Park West, Brooklyn, NY 11215, USA"
"10","240 SULLIVAN ST 10012","",40.7299575,-73.9996072,"premise","D'Agostino Hall, 240 Sullivan St, New York, NY 10012, USA"
"11","240 SULLIVAN STREET 10012","THIRD RAIL COFFEE",40.7299575,-73.9996072,"premise","D'Agostino Hall, 240 Sullivan St, New York, NY 10012, USA"
"12","240 UTICA AVE 11213","TEXAS FRIED CHICKEN AND PIZZA",40.6705372,-73.9309802,"street_address","240 Utica Ave, Brooklyn, NY 11213, USA"
"13","240 W 231 ST 10463","ESTRELLITA POBLANA",40.8795233,-73.9063772,"street_address","240 W 231st St, Bronx, NY 10463, USA"
"14","240 W 35TH ST 10001","ENTREE",40.7520873,-73.9918619,"premise","240 W 35th St, New York, NY 10001, USA"
"15","240 W 52ND ST 10019","HOWL AT THE MOON",40.7629523,-73.9842325,"premise","240 W 52nd St, New York, NY 10019, USA"
"16","240 WEST   14 STREET 10011","CRISPO",40.7391368,-74.001806,"premise","240 W 14th St, New York, NY 10011, USA"
"17","240 WEST   35 STREET 10001","CAFE NUNEZ",40.7520873,-73.9918619,"premise","240 W 35th St, New York, NY 10001, USA"
"18","240 WEST   40 STREET 10018","DUNKIN' DONUTS, BASKIN ROBBINS",40.7552412,-73.9895484,"premise","240 W 40th St, New York, NY 10018, USA"
"19","240 WEST   44 STREET 10036","THE HELEN HAYES THEATRE",40.7578637,-73.987835,"premise","240 W 44th St, New York, NY 10036, USA"
"20","240 WEST   47 STREET 10036","EDISON BALLROOM",40.7596325,-73.9859314,"street_address","240 W 47th St, New York, NY 10036, USA"
"21","240 WEST   54 STREET 10019","IGUANA RESTAURANT",40.7642063,-73.9832105,"street_address","240 W 54th St, New York, NY 10019, USA"
"22","240 WEST   55 STREET 10019","MCGEES PUB",40.764892,-73.9830476,"street_address","240 W 55th St, New York, NY 10019, USA"
"23","240 WEST   56 STREET 10019","BENARES INDIAN FOOD",40.7656519,-73.9829296,"street_address","240 W 56th St, New York, NY 10019, USA"
"24","2400 WESTCHESTER AVENUE 10461","DUNKIN' DONUTS",40.8367108,-73.8461941,"premise","2400 Westchester Ave, Bronx, NY 10461, USA"
"25","2400 YORKMONT ROAD 28217","HUDSON RIVER TRADING",35.1902524,-80.9201274,"premise","2400 Yorkmont Rd, Charlotte, NC 28217, USA"
"26","2401 29 STREET 11102","THE SPARROW TAVERN",40.7727726,-73.9164116,"street_address","24-01 29th St, Long Island City, NY 11102, USA"
