"ADDRESSS" "name"
"1" "3931 BROADWAY 10032" "CARROT TOP PASTRIES"
"2" "3932 AMBOY RD 10308" "FLANAGAN'S TAVERN"
"3" "3932 BELL BLVD 11361" "PIURA"
"4" "3933 BELL BOULEVARD 11361" "MAGGIE MOO'S"
"5" "3934 BELL BLVD 11361" "NITPONCHA RESTAURANT"
"6" "3935 47TH AVE 11104" "PUNDA TIBETAN RESTAURANT"
"7" "3935 AMBOY ROAD 10308" "PICCOLINO"
"8" "3935 BELL BOULEVARD 11361" "D'ALESSANDRO'S CORNER GRILL"
"9" "3936 10 AVENUE 10034" "DUNKIN' DONUTS"
"10" "3937 30 STREET 11101" "MIKE'S PIZZA"
"11" "3937 AMBOY RD 10308" "BAM SPORTSBAR & GRILL"
"12" "3938 BELL BOULEVARD 11361" "PAPAZZIO RESTAURANT"
"13" "3938 BROADWAY 10032" "EL PRESIDENTE  RESTAURANT"
"14" "3938 EAST TREMONT AVENUE 10465" "RINO'S"
"15" "3939 BROADWAY 10032" "WENDY'S"
"16" "3939 EMMONS AVENUE 11235" "CLEMENTE'S MARYLAND CRAB HOUSE"
"17" "394 3RD AVE 10016" "THAINY"
"18" "394 BEDFORD AVE 11249" "CHIVE BLOSSOM"
"19" "394 BROADWAY 11211" "MOTO"
"20" "394 BROOME ST 10013" "HAPPY BONES NYC"
"21" "394 CITY ISLAND AVE 10464" "ARTIE'S"
"22" "394 COURT ST 11231" "FRAGOLE 394"
"23" "394 E TREMONT AVE 10457" "DABRONX PIZZA"
"24" "394 LENOX ROAD 11203" "CAFE 101"
"25" "394 METROPOLITAN AVENUE 11211" "GOLDEN DRAGON RESTAURANT"
"26" "394 MYRTLE AVE 11205" "CHIPOTLE MEXICAN GRILL"
"27" "394 WEST  145 STREET 10031" "NEW MILLENIUM PIZZERIA"
"28" "3940 BELL BOULEVARD 11361" "UNCLE JACKS STEAKHOUSE"
"29" "3941 EAST BROADWAY 10002" "GOLDEN SAND SEAFOOD RESTAURANT"
"30" "3941 QUEENS BOULEVARD 11104" "DAZIES RESTAURANT"
"31" "3942 21 STREET 11101" "SUBWAY"
"32" "3944 21ST ST 11101" "OH HOT BAGELS & CAFE"
"33" "3944 21ST STREET 11101" "ASIAN HALAL FOOD RESTAURANT"
"34" "3944 QUEENS BOULEVARD 11104" "LA VIENESA SPANISH BAKERY"
"35" "3945 AMBOY RD 10308" "LUCKY FORTUNE"
"36" "3946 SKILLMAN AVENUE 11104" "JACKS ALE HOUSE"
"37" "3948 QUEENS BLVD 11104" "TEALICIOUS EXPRESS"
"38" "3949 43 AVENUE 11104" "THE BROTHERS CAFE"
"39" "3949 48 AVENUE 11104" "TEN FULL"
"40" "395 2 AVENUE 10010" "ORION DINER & GRILL"
"41" "395 CLASSON AVE 11238" "CLEMENTINE BAKERY"
"42" "395 E 151ST ST 10455" "619 BAR & RESTAURANT EL SALVADORENO"
"43" "395 FLATBUSH AVE 11201" "STARBUCKS"
"44" "395 FLATBUSH AVENUE EXTENSION 11201" "MCDONALD'S"
"45" "395 HUDSON ST 10014" "DUNKIN DONUTS & BASKIN ROBBINS"
"46" "395 KINGSTON AVENUE 11225" "KINGSTON PIZZA"
"47" "395 REMSEN AVENUE 11212" "WAH DO MR. CHAN'S RESTAURANT"
"48" "395 S END AVE 10280" "LE PAIN QUOTIDIEN"
"49" "395 WEST STREET 10014" "BONGO"
"50" "395 WYTHE AVENUE 11249" "TBA"
"51" "3950 10TH AVE 10034" "VIALE"
"52" "3950 61 STREET 11377" "STATION BAR"
"53" "3952 BROADWAY 10032" "X CAFFE"
"54" "3954 RICHMOND AVENUE 10312" "RICHMOND DINER"
"55" "3955 BRONXWOOD AVENUE 10466" "NEW CHINATOWN RESTAURANT"
"56" "3955 VICTORY BOULEVARD 10314" "THE WEST SHORE INN RESTAURANT"
"57" "3956 61 STREET 11377" "DUNKIN' DONUTS, BASKIN ROBBINS"
"58" "3956 BROADWAY 10032" "DALLAS BBQ"
"59" "3959 BROADWAY 10032" "JOU JOU CAFE (Presbyterian hospital)"
"60" "396 5TH AVE 11215" "TAJ MAHAL"
"61" "396 6 AVENUE 11215" "HAAB TAQUERIA"
"62" "396 6TH AVE 11215" ""
"63" "396 THIRD AVENUE 10016" "JAIYA THAI ORIENTAL RESTAURANT"
"64" "396 WYTHE AVE 11249" "JANE MOTORCYCLE"
"65" "3961 207 STREET 10034" "HEALTHY BITE"
"66" "3961 61 STREET 11377" "MANGOS LIGHTHOUSE RESTAURANT & BAKERY"
"67" "3963 61ST ST 11377" "PAPA SAL'S PIZZA"
"68" "3964 10TH AVE 10034" "PLAYROOM NYC"
"69" "3966 WHITE PLAINS RD 10466" "TIEN LUNG CHINESE RESTAURANT"
"70" "3969 LACONIA AVENUE 10466" "CARIBBEAN CONNECTION CATERING SERVICES INC RESTAURANT"
"71" "397 BEDFORD PARK BOULEVARD 10458" "ROCCO'S PIZZA"
"72" "397 GREENE AVE 11216" "PILAR CUBAN EATERY"
"73" "397 GREENWICH STREET 10013" "WICHCRAFT"
"74" "397 TOMPKINS AVE 11216" "EUGENE & CO"
"75" "3972 HYLAN BLVD 10308" "TOMOYO"
"76" "3972 HYLAN BOULEVARD 10308" "NEW SAKE ONE FUSION JAPANESE RESTAURANT"
"77" "3973 BRONXWOOD AVE 10466" "BEST CHOICE CARIBBEAN RESTAURANT AND JUICE BAR"
"78" "3975A LACONIA AVE 10466" "BIG WONG CHINESE RESTAURANT"
"79" "3976 61ST ST 11377" "DUGOUT PUB"
"80" "3976 WHITE PLAINS RD 10466" "SUBWAY"
"81" "3978 WHITE PLAINS ROAD 10466" "CHAMPION BAKERY"
"82" "3979 AMBOY ROAD 10308" "FOO SING"
"83" "398 AUDUBON AVE 10033" "DUNKIN' DONUTS"
"84" "398 E 52ND ST 10022" "LA VILLETTA"
"85" "398 W 145TH ST 10031" "AGAVE MEXICAN & AMERICAN GRILL"
"86" "398 W BROADWAY 10012" "LADUREE SOHO"
"87" "3982 61 STREET 11377" "FRESCA LA CREPE"
"88" "3985A LACONIA AVENUE 10466" "LACONIA PIZZERIA"
"89" "3986 WHITE PLAINS RD 10466" "LIN'S GARDEN"
"90" "3988 WHITE PLAINS RD 10466" "KENNEDY FRIED CHICKEN"
"91" "398A W 145TH ST 10031" "NEW GOLDEN DRAGON CHINESE RESTAURANT"
"92" "399 5 AVENUE 11215" "FOOD LIN"
"93" "399 7TH AVE 10001" "STARBUCKS #23044"
"94" "399 GRAND ST 10002" "SALUGGI'S"
"95" "399 GREENWICH ST 10013" "GREENWICH STREET TAVERN"
"96" "399 LAFAYETTE STREET 10003" "ASTOR CENTER"
"97" "399 MOTHER GASTON BLVD 11212" "CROWN FRIED CHICKEN"
"98" "399 PARK AVENUE 10022" "DISHES"
"99" "399 WEST BROADWAY 10012" "GROUND SUPPORT CAFE"
"100" "3995 AMBOY ROAD 10308" "VILLAGE MARIA"
"101" "4 - JFK AIRPORT 11430" "AIR INDIA LOUNGE"
"102" "4 ALLEN ST 10002" "HAPPY EXPRESS CAFE"
"103" "4 BEDFORD PARK BOULEVARD 10468" "CHOI YUAN"
"104" "4 CLINTON STREET 10002" "CLINTON STREET BAKING COMPANY"
"105" "4 COLEMAN SQ 11414" "NEIGHBORHOOD PIZZA"
"106" "4 COLUMBUS CIRCLE 10019" "STARBUCKS"
"107" "4 CORTLANDT ST 10007" "HIBACHI EXPRESS"
"108" "4 E 46TH ST 10017" "VITAE"
"109" "4 E 90TH ST 10128" ""
"110" "4 E FORDHAM RD 10468" "DUNKIN' DONUTS"
